index,x_mm,y_mm
659,22.63139318,7.40595811
660,22.65809887,7.41281463
661,22.68449388,7.41961230
662,22.71057795,7.42635057
663,22.73635081,7.43302890
664,22.76181222,7.43964672
665,22.78696193,7.44620349
666,22.81179970,7.45269865
667,22.83632529,7.45913166
668,22.86053846,7.46550197
669,22.88443899,7.47180903
670,22.90802666,7.47805228
671,22.93130125,7.48423119
672,22.95426254,7.49034520
673,22.97691034,7.49639376
674,22.99924443,7.50237634
675,23.02126461,7.50829238
676,23.04297071,7.51414133
677,23.06436252,7.51992267
678,23.08543987,7.52563583
679,23.10620257,7.53128027
680,23.12665046,7.53685546
681,23.14678336,7.54236086
682,23.16660112,7.54779591
683,23.18610358,7.55316008
684,23.20529058,7.55845283
685,23.22416197,7.56367362
686,23.24271762,7.56882191
687,23.26095738,7.57389716
688,23.27888112,7.57889884
689,23.29648872,7.58382641
690,23.31378004,7.58867933
691,23.33075498,7.59345707
692,23.34741342,7.59815910
693,23.36375525,7.60278488
694,23.37978037,7.60733388
695,23.39548868,7.61180557
696,23.41088008,7.61619942
697,23.42595450,7.62051490
698,23.44071184,7.62475148
699,23.45515203,7.62890864
700,23.46927500,7.63298583
701,23.48308067,7.63698255
702,23.49656899,7.64089827
703,23.50973990,7.64473246
704,23.52259334,7.64848459
705,23.53512926,7.65215415
706,23.54734762,7.65574062
707,23.55924839,7.65924348
708,23.57083153,7.66266220
709,23.58209702,7.66599628
710,23.59304482,7.66924518
711,23.60367492,7.67240841
712,23.61398731,7.67548544
713,23.62398198,7.67847576
714,23.63365893,7.68137886
715,23.64301815,7.68419423
716,23.65205966,7.68692135
717,23.66078347,7.68955973
718,23.66918959,7.69210885
719,23.67727804,7.69456820
720,23.68504886,7.69693729
721,23.69250207,7.69921560
722,23.69963770,7.70140264
723,23.70645581,7.70349790
724,23.71295644,7.70550088
725,23.71913963,7.70741109
726,23.72500545,7.70922803
727,23.73055395,7.71095120
728,23.73578521,7.71258011
729,23.74069929,7.71411427
730,23.74529627,7.71555317
731,23.74957623,7.71689634
732,23.75353925,7.71814328
733,23.75718543,7.71929351
734,23.76051487,7.72034653
735,23.76352766,7.72130187
736,23.76622391,7.72215904
737,23.76860373,7.72291756
738,23.77066723,7.72357695
739,23.77241454,7.72413673
740,23.77384578,7.72459642
741,23.77496108,7.72495554
742,23.77576058,7.72521363
743,23.77624441,7.72537021
744,23.77641273,7.72542480
745,23.77641332,7.72542499
746,23.77655986,7.72547306
747,23.77696936,7.72560905
748,23.77764113,7.72583504
749,23.77857445,7.72615316
750,23.77976857,7.72656549
751,23.78122275,7.72707413
752,23.78293622,7.72768115
753,23.78490821,7.72838865
754,23.78713792,7.72919869
755,23.78962456,7.73011334
756,23.79236730,7.73113468
757,23.79536530,7.73226477
758,23.79861773,7.73350564
759,23.80212372,7.73485936
760,23.80588240,7.73632797
761,23.80989288,7.73791350
762,23.81415427,7.73961798
763,23.81866564,7.74144345
764,23.82342608,7.74339191
765,23.82843464,7.74546538
766,23.83369037,7.74766587
767,23.83919229,7.74999538
768,23.84493944,7.75245591
769,23.85093081,7.75504943
770,23.85716540,7.75777794
771,23.86364219,7.76064340
772,23.87036015,7.76364779
773,23.87731822,7.76679307
774,23.88451536,7.77008118
775,23.89195048,7.77351408
776,23.89962251,7.77709370
777,23.90753034,7.78082199
778,23.91567287,7.78470086
779,23.92404897,7.78873224
780,23.93265750,7.79291803
781,23.94149731,7.79726014
782,23.95056725,7.80176047
783,23.95986614,7.80642090
784,23.96939279,7.81124331
785,23.97914600,7.81622959
786,23.98912456,7.82138158
787,23.99932725,7.82670116
788,24.00975283,7.83219017
789,24.02040005,7.83785046
790,24.03126764,7.84368384
791,24.04235435,7.84969216
792,24.05365887,7.85587722
793,24.06517991,7.86224084
794,24.07691617,7.86878482
795,24.08886632,7.87551094
796,24.10102903,7.88242099
797,24.11340295,7.88951674
798,24.12598672,7.89679996
799,24.13877897,7.90427241
800,24.15177834,7.91193583
801,24.16498341,7.91979195
802,24.17839279,7.92784252
803,24.19200506,7.93608925
804,24.20581879,7.94453385
805,24.21983255,7.95317802
806,24.23404489,7.96202346
807,24.24845434,7.97107184
808,24.26305943,7.98032485
809,24.27785868,7.98978414
810,24.29285059,7.99945138
811,24.30803366,8.00932819
812,24.32340636,8.01941623
813,24.33896718,8.02971711
814,24.35471457,8.04023245
815,24.37064699,8.05096385
816,24.38676286,8.06191292
817,24.40306063,8.07308122
818,24.41953871,8.08447035
819,24.43619550,8.09608186
820,24.45302941,8.10791730
821,24.47003882,8.11997823
822,24.48722210,8.13226616
823,24.50457763,8.14478264
824,24.52210376,8.15752916
825,24.53979883,8.17050723
826,24.55766118,8.18371835
827,24.57568913,8.19716398
828,24.59388101,8.21084560
829,24.61223511,8.22476467
830,24.63074973,8.23892263
831,24.64942316,8.25332092
832,24.66825368,8.26796097
833,24.68723954,8.28284419
834,24.70637901,8.29797198
835,24.72567034,8.31334573
836,24.74511175,8.32896682
837,24.76470149,8.34483663
838,24.78443777,8.36095650
839,24.80431881,8.37732779
840,24.82434279,8.39395182
841,24.84450792,8.41082993
842,24.86481238,8.42796341
843,24.88525434,8.44535358
844,24.90583196,8.46300171
845,24.92654341,8.48090908
846,24.94738683,8.49907695
847,24.96836037,8.51750659
848,24.98946214,8.53619921
849,25.01069028,8.55515606
850,25.03204290,8.57437835
851,25.05351810,8.59386728
852,25.07511399,8.61362404
853,25.09682864,8.63364980
854,25.11866015,8.65394574
855,25.14060658,8.67451301
856,25.16266601,8.69535275
857,25.18483648,8.71646608
858,25.20711605,8.73785413
859,25.22950276,8.75951800
860,25.25199464,8.78145877
861,25.27458973,8.80367753
862,25.29728603,8.82617534
863,25.32008157,8.84895325
864,25.34297435,8.87201230
865,25.36596236,8.89535353
866,25.38904360,8.91897793
867,25.41221605,8.94288652
868,25.43547768,8.96708029
869,25.45882647,8.99156019
870,25.48471537,8.91791919
871,25.51039125,8.84420365
872,25.53585391,8.77041418
873,25.56110314,8.69655141
874,25.58613871,8.62261595
875,25.61096043,8.54860842
876,25.63556808,8.47452944
877,25.65996146,8.40037962
878,25.68414037,8.32615959
879,25.70810460,8.25186997
880,25.73185395,8.17751137
881,25.75538823,8.10308443
882,25.77870723,8.02858975
883,25.80181077,7.95402798
884,25.82469865,7.87939971
885,25.84737067,7.80470559
886,25.86982665,7.72994624
887,25.89206641,7.65512227
888,25.91408975,7.58023433
889,25.93589649,7.50528302
890,25.95748645,7.43026898
891,25.97885945,7.35519284
892,26.00001531,7.28005522
893,26.02095385,7.20485675
894,26.04167490,7.12959806
895,26.06217828,7.05427978
896,26.08246383,6.97890253
897,26.10253137,6.90346696
898,26.12238074,6.82797368
899,26.14201177,6.75242333
900,26.16142429,6.67681654
901,26.18061815,6.60115395
902,26.19959318,6.52543618
903,26.21834922,6.44966387
904,26.23688613,6.37383765
905,26.25520373,6.29795816
906,26.27330189,6.22202602
907,26.29118044,6.14604188
908,26.30883925,6.07000637
909,26.32627816,5.99392013
910,26.34349702,5.91778378
911,26.36049569,5.84159797
912,26.37727404,5.76536334
913,26.39383191,5.68908051
914,26.41016918,5.61275014
915,26.42628570,5.53637285
916,26.44218134,5.45994929
917,26.45785596,5.38348009
918,26.47330945,5.30696589
919,26.48854166,5.23040734
920,26.50355247,5.15380507
921,26.51834175,5.07715972
922,26.53290938,5.00047194
923,26.54725525,4.92374236
924,26.56137922,4.84697162
925,26.57528118,4.77016037
926,26.58896102,4.69330926
927,26.60241862,4.61641891
928,26.61565387,4.53948998
929,26.62866665,4.46252310
930,26.64145686,4.38551893
931,26.60920288,4.39572247
932,26.57716312,4.40571725
933,26.54533889,4.41550509
934,26.51373151,4.42508785
935,26.48234224,4.43446736
936,26.45117236,4.44364548
937,26.42022313,4.45262408
938,26.38949581,4.46140503
939,26.35899162,4.46999022
940,26.32871178,4.47838151
941,26.29865751,4.48658082
942,26.26883000,4.49459005
943,26.23923044,4.50241110
944,26.20986000,4.51004589
945,26.18071984,4.51749635
946,26.15181110,4.52476441
947,26.12313492,4.53185201
948,26.09469241,4.53876109
949,26.06648468,4.54549361
950,26.03851283,4.55205153
951,26.01077794,4.55843681
952,25.98328107,4.56465142
953,25.95602328,4.57069736
954,25.92900561,4.57657659
955,25.90222909,4.58229113
956,25.87569472,4.58784295
957,25.84940352,4.59323408
958,25.82335647,4.59846652
959,25.79755455,4.60354229
960,25.77199870,4.60846342
961,25.74668990,4.61323192
962,25.72162905,4.61784985
963,25.69681710,4.62231924
964,25.67225493,4.62664213
965,25.64794345,4.63082059
966,25.62388354,4.63485666
967,25.60007606,4.63875241
968,25.57652186,4.64250991
969,25.55322177,4.64613124
970,25.53017664,4.64961847
